issuer_code,listing_date,gics_industry_group,exempt_foreign,internet_address,registered_office_address,head_office_telephone,head_office_fax,registry_id
MOQ,2000-12-19,Software & Services,No,http://www.moq.com.au,"G.01, 3-5 West Street, NORTH SYDNEY, NSW, AUSTRALIA, 2060",+61 2  8006 5790,+61 2 9327 1375,25
ONT,2005-3-11,Health Care Equipment & Services,No,http://www.1300smiles.com.au,"Ground Floor, 105 Denham Street, TOWNSVILLE, QLD, AUSTRALIA, 4810",(07) 4720 1300,(07) 4721 5217,15
14D,2018-9-12,Capital Goods,No,http://www.1414degrees.com.au,"10 Greenhill Road, WAYVILLE, SA, AUSTRALIA, 5034",08 8357 8273,-,18
1ST,2015-6-9,Health Care Equipment & Services,No,http://www.1stgrp.com,"c/- Whittens & McKeough, Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",1300 266 517,+61 2 8072 1440,4
T3D,2006-12-27,Commercial & Professional Services,No,http://www.333d.com.au,"Level 7, 411 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(08) 6211 5099,(08) 9218 8875,3
TDI,2019-10-31,Not Applic,No,http://www.360capital.com.au,"Suite 804, Level 8, 56 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8405 8860,-,8
TGP,2005-7-26,Real Estate,No,http://www.360capital.com.au,"Level 8, 56 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8405 8860,(02) 9238 0354,8
TOT,2015-4-22,Diversified Financials,No,http://www.360capital.com.au,"Suite 804, Level 8, 56 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8405 8866,-,8
TDO,2007-5-22,Energy,No,http://www.3doil.com.au,"Level 18, 41 Exhibition Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 9650 9866,(03) 9639 1960,19
DDD,2007-3-21,Materials,No,http://www.3dresources.com.au,"C/- DW Accounting & Advisory, Level 4, 91 William Street, MELBOURNE, VIC, AUSTRALIA, 3000",+61 3 9620 0033,+61 3 9620 0070,16
3PL,2014-7-9,Consumer Services,No,http://www.3plearning.com,"Level 18, 124 Walker Street, NORTH SYDNEY, NSW, AUSTRALIA, 2060",1300 850 331,NA,23
4DX,,Class Pend,No,https://4dmedical.com/,"Suite 501 Level 5, 468 St Kilda Road, MELBOURNE, VIC, AUSTRALIA, 3004",+61 3 9545 5940,-,27
4DS,2010-12-9,Semiconductors & Semiconductor Equipment,No,http://www.4dsmemory.com,"Level 2, 50 Kings Park Road, WEST PERTH, WA, AUSTRALIA, 6005",(08) 6377 8043,(08) 6377 8043,3
5GN,2017-11-17,Telecommunication Services,No,http://www.5gnetworks.com.au,"Level 8, 99 William Street, MELBOURNE, VIC, AUSTRALIA, 3000",03 8630 7777,03 8630 3799,24
88E,2000-1-20,Energy,No,http://www.88energy.com,"Level 2,, 5 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",+61 8 9485 0990,+61 8 9321 8990,16
8CO,2014-8-27,Software & Services,No,http://www.8common.com,"Walker Wayland NSW Chartered Accountants, Suite 1, Level 11, 60 Castlereagh Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9387 2509,N/A,4
8IH,2014-12-17,Diversified Financials,No,http://8iholdings.com/,"C/- SmallCap Corporate Pty Ltd, Suite 6, 295 Rokeby Rd, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6555 2950,+61 8 6166 0261,8
