issuer_code,official_listing_date,gics_industry_group,exempt_foreign,internet_address,registered_office_address,head_office_telephone,head_office_fax,share_registry,share_registry_telephone,,,,,,,,,,
MOQ,19/12/00,Software & Services,No,http://www.moq.com.au,"G.01, 3-5 West Street, NORTH SYDNEY, NSW, AUSTRALIA, 2060",+61 2  8006 5790,+61 2 9327 1375,"LINK MARKET SERVICES LIMITED
                    LEVEL 4 CENTRAL PARK, 152 ST GEORGES TERRACE, PERTH, WA, AUSTRALIA, 6000",1300 554 474,,,,,,,,,,
ONT,11/3/05,Health Care Equipment & Services,No,http://www.1300smiles.com.au,"Ground Floor, 105 Denham Street, TOWNSVILLE, QLD, AUSTRALIA, 4810",(07) 4720 1300,(07) 4721 5217,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 1, 200 Mary Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 552 270,,,,,,,,,,
14D,12/9/18,Capital Goods,No,http://www.1414degrees.com.au,"10 Greenhill Road, WAYVILLE, SA, AUSTRALIA, 5034",08 8357 8273,-,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 5, 115 Grenfell Street, ADELAIDE, SA, AUSTRALIA, 5000",08 8236 2300,,,,,,,,,,
1ST,9/6/15,Health Care Equipment & Services,No,http://www.1stgrp.com,"c/- Whittens & McKeough, Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",1300 266 517,+61 2 8072 1440,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
T3D,27/12/06,Commercial & Professional Services,No,http://www.333d.com.au,"Level 7, 411 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(08) 6211 5099,(08) 9218 8875,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
TDI,31/10/19,Not Applic,No,http://www.360capital.com.au,"Suite 804, Level 8, 56 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8405 8860,-,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
TGP,26/7/05,Real Estate,No,http://www.360capital.com.au,"Level 8, 56 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8405 8860,(02) 9238 0354,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
TOT,22/4/15,Diversified Financials,No,http://www.360capital.com.au,"Suite 804, Level 8, 56 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8405 8866,-,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
TDO,22/5/07,Energy,No,http://www.3doil.com.au,"Level 18, 41 Exhibition Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 9650 9866,(03) 9639 1960,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
DDD,21/3/07,Materials,No,http://www.3dresources.com.au,"C/- DW Accounting & Advisory, Level 4, 91 William Street, MELBOURNE, VIC, AUSTRALIA, 3000",+61 3 9620 0033,+61 3 9620 0070,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
3PL,9/7/14,Consumer Services,No,http://www.3plearning.com,"Level 18, 124 Walker Street, NORTH SYDNEY, NSW, AUSTRALIA, 2060",1300 850 331,NA,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
4DX,Not yet listed,Class Pend,No,https://4dmedical.com/,"Suite 501 Level 5, 468 St Kilda Road, MELBOURNE, VIC, AUSTRALIA, 3004",+61 3 9545 5940,-,"LINK MARKET SERVICES LIMITED
                    Tower 4, 727 Collins Street, DOCKLANDS, VIC, AUSTRALIA, 3008",1300 554 474,,,,,,,,,,
4DS,9/12/10,Semiconductors & Semiconductor Equipment,No,http://www.4dsmemory.com,"Level 2, 50 Kings Park Road, WEST PERTH, WA, AUSTRALIA, 6005",(08) 6377 8043,(08) 6377 8043,"AUTOMIC REGISTRY SERVICES
                    LEVEL 2, 267 St Georges Terrace,, PERTH, WA, AUSTRALIA, 6000",(08) 9324 2099,,,,,,,,,,
5GN,17/11/17,Telecommunication Services,No,http://www.5gnetworks.com.au,"Level 8, 99 William Street, MELBOURNE, VIC, AUSTRALIA, 3000",03 8630 7777,03 8630 3799,"LINK MARKET SERVICES LIMITED
                    Level 21, 10 Eagle Street, BRISBANE, QLD, AUSTRALIA, 4000",1300 554 474,,,,,,,,,,
88E,20/1/00,Energy,No,http://www.88energy.com,"Level 2,, 5 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",+61 8 9485 0990,+61 8 9321 8990,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 11, 172 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000",1300 850 505,,,,,,,,,,
8CO,27/8/14,Software & Services,No,http://www.8common.com,"Walker Wayland NSW Chartered Accountants, Suite 1, Level 11, 60 Castlereagh Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9387 2509,N/A,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
8IH,17/12/14,Diversified Financials,No,http://8iholdings.com/,"C/- SmallCap Corporate Pty Ltd, Suite 6, 295 Rokeby Rd, SUBIACO, WA, AUSTRALIA, 6008",+61 8 6555 2950,+61 8 6166 0261,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
8EC,1/12/15,Not Applic,No,http://www.8EC.com.au,"C/- Boardroom Pty Limited, Level 12, 225 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8274 2088,-,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
8VI,16/12/15,Consumer Services,No,https://8vicglobal.com,"Goldbell Towers, 47 Scotts Road, #03-03/, SINGAPORE, ., SINGAPORE, 228233",+65 6225 8480,-,"LINK MARKET SERVICES LIMITED
                    Level 12 QV1 Building, 250 St Georges Terrace Perth, PERTH, WA, AUSTRALIA, 6000",1300 554 474,,,,,,,,,,
9SP,9/6/16,Software & Services,No,http://www.9spokes.com,"Level 4, Aecom House, 8 Mahuhu Crescent, AUCKLAND, NZ, NEW ZEALAND, 1010",TBA,-,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
NNT,8/10/13,Software & Services,No,http://www.99wuxian.com,"Level 26, 56 Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9276 2000,(02) 9247 9977,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
ACB,19/5/06,Energy,No,http://www.a-cap.com.au,"Level 38, 123 Eagle St, BRISBANE, QLD, AUSTRALIA, 4000",+61 (0) 401 876 534,-,"ADVANCED SHARE REGISTRY SERVICES
                    110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,,,,,,,,,,
AYI,2/10/07,Diversified Financials,No,,"Suite 606, 37 Bligh Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9114 6888,02 9232 8883,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
A2B,14/12/99,Transportation,No,http://www.a2baustralia.com,"Cabcharge House, 152-162 Riley Street, EAST SYDNEY, NSW, AUSTRALIA, 2010",(02) 9332 9248,(02) 9332 9263,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
ABP,14/11/02,Real Estate,No,http://www.abacusproperty.com.au,"Level 34, Australia Square, 264-278 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9253 8600,(02) 9253 8616,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
ABL,1/1/74,Energy,No,http://www.abilene.com.au/,"Level 4, 100 Albert Road, SOUTH MELBOURNE, VIC, AUSTRALIA, 3205",+61 3 9692 7222,+61 3 9077 9233,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
AEG,16/12/15,Not Applic,No,http://www.aepfund.com.au,"LEVEL 12, GROSVENOR PLACE, 225 GEORGE ST, SYDNEY, NSW, AUSTRALIA, 2000",03 8639 1291,03 8611 6534,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
AJC,3/7/86,Energy,No,http://www.acaciacoal.com,"Ground Floor, 16 Ord Street, West Perth, PERTH, WA, AUSTRALIA, 6005",+61 8 9482 0520,+61 8 9482 0505,"LINK MARKET SERVICES LIMITED
                    Level 12 QV1 Building, 250 St Georges Terrace Perth, PERTH, WA, AUSTRALIA, 6000",1300 554 474,,,,,,,,,,
AKG,1/6/77,Consumer Services,No,http://www.academies.edu.au,"Level 6, 505 George Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9224 5555,(02) 9224 5550,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
AX8,14/2/18,Materials,No,http://www.ax8.com.au/,"Unit 4/16 Ord Street, WEST PERTH, WA, AUSTRALIA, 6005",08 9482 0588,08 9482 0505,"ADVANCED SHARE REGISTRY SERVICES
                    110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,,,,,,,,,,
AX1,7/7/04,Retailing,No,http://www.accentgr.com.au/,"2/64 Balmain St, Richmond, VIC, AUSTRALIA, 3121",+61 3 9427 9422,+61 3 9427 9622,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Level 3, 60 Carrington Street, SYDNEY, NSW, AUSTRALIA, 2000",02 8234 5000,,,,,,,,,,
ACS,26/8/05,Materials,No,http://www.accentresources.com.au,"Level 9, 250 Queen Street, MELBOURNE, VIC, AUSTRALIA, 3000",+61 3 9670 0888,+61 3 9670 3883,"ADVANCED SHARE REGISTRY SERVICES
                    110 STIRLING HIGHWAY, NEDLANDS, WA, AUSTRALIA, 6009",(08) 9389 8033,,,,,,,,,,
ACQ,1/5/14,Not Applic,No,http://www.acorncapital.com.au,"C/- Acorn Capital Limited, Level 12, 90 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",(03) 9639 0522,(03) 9639 0515,"COMPUTERSHARE INVESTOR SERVICES PTY LIMITED
                    Yarra Falls, 452 Johnston Street, ABBOTSFORD, VIC, AUSTRALIA, 3067",03 9415 4000,,,,,,,,,,
ACF,27/6/08,Capital Goods,No,http://www.acrow.com.au,"c/- Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 8072 1400,(02) 8072 1440,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
ACR,29/9/04,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.acrux.com.au,"103-113 Stanley Street, WEST MELBOURNE, VIC, AUSTRALIA, 3003",(03) 8379 0100,(03) 8379 0101,"LINK MARKET SERVICES LIMITED
                    Tower 4, 727 Collins Street, DOCKLANDS, VIC, AUSTRALIA, 3008",1300 554 474,,,,,,,,,,
ACW,16/10/07,"Pharmaceuticals, Biotechnology & Life Sciences",No,http://www.actinogen.com.au,"Suite 901, Level 9, 109Pitt Street, SYDNEY, NSW, AUSTRALIA, 2000",+61 2 8964 7401,+ 61 2 8964 7588,"LINK MARKET SERVICES LIMITED
                    LEVEL 12, 680 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",1300 554 474,,,,,,,,,,
AIV,11/4/06,Materials,No,http://www.activex.com.au,"Suite 2, 3B Macquarie Street, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9251 9088,(02) 9251 9066,"BOARDROOM PTY LIMITED
                    LEVEL 12, 225 GEORGE STREET, SYDNEY, NSW, AUSTRALIA, 2000",(02) 9290 9600,,,,,,,,,,
ACU,5/12/03,Real Estate,No,http://www.lmw.com.au,"Level 6, 55 Clarence Street, SYDNEY, NSW, AUSTRALIA, 2000",-,-,"AUTOMIC REGISTRY SERVICES
                    Level 5, 126 Phillip Street, SYDNEY, NSW, AUSTRALIA, 2000",02 9698 5414,,,,,,,,,,
